,text,sentiment,clean_message
47,"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",0,real effect work presenc anim integr scene worst obviou bluegreenscreen work ive ever see
48,"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  ",0,whatev cost much didnt translat qualiti that sure
49,"The film succeeds despite, or perhaps because of, an obviously meagre budget.  ",1,film succeed despit perhap obvious meagr budget
50,"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  ",1,im glad film didnt go obviou choic lesser film certainli would
51,"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  ",1,addit one love song ever write french cancan also boast one cutest lead ladi ever grace screen
52,It's hard not to fall head-over-heels in love with that girl.  ,1,hard fall headoverheel love girl
53,"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  ",0,neg insipid enough caus regret anoth 2 hour life wast front screen
54,"Long, whiny and pointless.  ",0,long whini pointless
55,"But I recommend waiting for their future efforts, let this one go.  ",0,recommend wait futur effort let one go
56,"Excellent cast, story line, performances.  ",1,excel cast stori line perform
57,Totally believable.  ,1,total believ
58,Anne Heche was utterly convincing.  ,1,ann hech utterli convinc
59,Sam Shepard's portrayal of a gung ho Marine was sobering.  ,1,sam shepard portray gung ho marin sober
60,I sat riveted to the TV screen.  ,1,sat rivet tv screen
61,All in all I give this one a resounding 9 out of 10.  ,1,give one resound 9 10
62,I do think Tom Hanks is a good actor.  ,1,think tom hank good actor
63,I enjoyed reading this book to my children when they were little.  ,1,enjoy read book child littl
64,I was very disappointed in the movie.  ,0,disappoint movi
65,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,0,one charact total annoy voic give feel fingernail chalkboard
66,There is a totally unnecessary train/roller coaster scene.  ,0,total unnecessari trainrol coaster scene
67,There was absolutely no warmth or charm to these scenes or characters.  ,0,absolut warmth charm scene charact
68,This movie totally grates on my nerves.  ,0,movi total grate nerv
69,"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",0,perform improv improvis actor twice much worri whether theyr deliv line well whether line good
70,"And, quite honestly, often its not very good.  ",0,quit honestli often good
71,"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  ",0,often dialogu doesnt realli follow one line anoth fit surround
72,"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  ",0,crackl unpredict youth energi honestli find hard follow concentr meander badli
73,There are some generally great things in it.  ,1,gener great thing
74,"I wouldn't say they're worth 2 hours of your time, though.  ",0,wouldnt say theyr worth 2 hour time though
75,"The suspense builders were good, & just cross the line from G to PG.  ",1,suspens builder good cross line g pg
76,"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  ",1,especi like nonclich choic parent movi could predict dialog verbatim write movi make well select
77,"If you want a movie that's not gross but gives you some chills, this is a great choice.  ",1,want movi that gross give chill great choic
78,Alexander Nevsky is a great film.  ,1,alexand nevski great film
79,"He is an amazing film artist, one of the most important whoever lived.  ",1,amaz film artist one import whoever live
80,"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  ",0,im glad pretenti piec didnt plan dodg stratu big shot gon na help movi maker arent restrain movi busi québec
81,This if the first movie I've given a 10 to in years.  ,1,first movi ive give 10 year
82,"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,ever movi need wordofmouth promot
83,"Overall, the film is interesting and thought-provoking.  ",1,overal film interest thoughtprovok
84,"Plus, it was well-paced and suited its relatively short run time.  ",1,plu wellpac suit rel short run time
85,Give this one a look.  ,1,give one look
86,I gave it a 10  ,1,give 10
87,The Wind and the Lion is well written and superbly acted.  ,1,wind lion well write superbl act
88,It is a true classic.  ,1,true classic
89,It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1,actual turn pretti decent far blist horrorsuspens film go
90,Definitely worth checking out.  ,1,definit worth check
91,The problem was the script.  ,0,problem script
92,It was horrendous.  ,0,horrend
93,There was NOTHING believable about it at all.  ,0,noth believ
94,The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0,suspens feel frustrat retard girl
95,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1,manna heaven terrif film predict unpredict time
96,The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1,scene often funni occasion touch charact evalu life go
97,The cast of veteran actors are more than just a nostalgia trip.  ,1,cast veteran actor nostalgia trip
98,Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1,ursula burton portray nun touch funni time make fun nun church
99,"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1,look movi terrif cast good musicinclud shirley jone rendit way look tonight uplift end give one tri
100,I don't think you will be disappointed.  ,1,dont think disappoint
101,"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0,frankli cotton club unfaith kind embarrass watch lane gere film bad
102,"The acting was bad, the dialogs were extremely shallow and insincere.  ",0,act bad dialog extrem shallow insincer
103,"It was too predictable, even for a chick flick.  ",0,predict even chick flick
104,Too politically correct.  ,0,polit correct
105,Very disappointing.  ,0,disappoint
106,"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1,thing realli worth watch sceneri hous beauti
107,"I love Lane, but I've never seen her in a movie this lousy.  ",0,love lane ive never see movi lousi
108,An hour and a half I wish I could bring back.  ,0,hour half wish could bring back
109,But in terms of the writing it's very fresh and bold.  ,1,term write fresh bold
110,"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1,act help write along well mayb idiotsav sister could play good real joy watch
111,The directing and the cinematography aren't quite as good.  ,0,direct cinematographi arent quit good
112,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0,movi bore sometim find occupi peak paper instead watch never happen columbo movi
113,"), and sometimes it was so embarrassing that I had to look away.  ",0,sometim embarrass look away
114,The directing seems too pretentious.  ,0,direct seem pretenti
115,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0,scene ohsomatur neighbourgirl misplac
116,And generally the lines and plot is weaker than the average episode.  ,0,gener line plot weak averag episod
117,"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0,scene debat whether sack trumpet fals accus murder pure horror realli stupid
118,"Some applause should be given to the ""prelude"" however.  ",1,applaus give prelud howev
119,I really liked that.  ,1,realli like
120,A great film by a great director.  ,1,great film great director
121,The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1,movi edg seat make somewhat afraid go car end night
122,The music in the film is really nice too.  ,1,music film realli nice
123,I'd advise anyone to go and see it.  ,1,id advis anyon go see
124,Brilliant!  ,1,brilliant
125,10/10  ,1,1010
126,I liked this movie way too much.  ,1,like movi way much
127,My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0,problem think actor play villain low rent michael ironsid
128,It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,1,rock world certainli must see anyon social physic outlet
129,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0,howev didnt make fact overal tremend bore movi
130,"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0,chemistri ben affleck sandra bullock film couldnt understand would consid even leav wifetob chick supposedli knock
131,There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,0,sever moment movi didnt need excruciatingli slow move
132,"This was a poor remake of ""My Best Friends Wedding"".  ",0,poor remak best friend wed
133,"All in all, a great disappointment.  ",0,great disappoint
134,"I cannot believe that the actors agreed to do this ""film"".  ",0,believ actor agre film
135,I could not stand to even watch it for very long for fear of losing I.Q.  ,0,could stand even watch long fear lose iq
136,I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0,guess nobodi network air dribbl watch put
137,"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",0,imdb rate go low 1 aw time get neg number case
138,"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0,saw mirrormask last night unsatisfactori experi
139,"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0,unfortun inexperi direct mean scene scene pass littl way dramat tension conflict
140,"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0,central theme film handl ineptli stereotyp depth imagin
141,All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,0,pretti pictur world make piec work flaw core
142,"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0,hour half wast time follow bunch pretti high schooler whine cri life
143,"You can't relate with them, hell you barely can understand them.  ",0,cant relat hell bare understand
144,This is definitely a cult classic well worth viewing and sharing with others.  ,1,definit cult classic well worth view share other
145,"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0,movi pure disast stori stupid edit bad see confus incred
146,The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0,fish badli make underwat shot repeat thousand time film
147,"A truly, truly bad film.  ",0,truli truli bad film
148,"The acting is terrible, and the writing is worse.  ",0,act terribl write wors
149,The only possible way this movie could be redeemed would be as MST3K fodder.  ,0,possibl way movi could redeem would mst3k fodder
150,I paid too much.  ,0,pay much
151,"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",1,also real treat see anthoni quinn play crazi hors
152,It was so BORING!  ,0,bore
153,No plot whatsoever!  ,0,plot whatsoev
154,"Again, no plot at all.  ",0,plot
155,Horrible!  ,0,horribl
156,Worst hour and a half of my life!Oh my gosh!  ,0,worst hour half lifeoh gosh
157,I had to walk out of the theatre for a few minutes just to get some relief!  ,0,walk theatr minut get relief
158,I hate movies like that.  ,0,hate movi like
159,"Yeah, the movie pretty much sucked.  ",0,yeah movi pretti much suck
160,THERE IS NO PLOT OR STORYLINE!!  ,0,plot storylin
161,"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0,go see movi bring pillow girlfriendboyfriend keep occupi
162,Awful.  ,0,aw
163,I don't think I've ever gone to a movie and disliked it as much.  ,0,dont think ive ever go movi dislik much
164,It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,0,good thing ticket cost five dollar would mad id pay 750 see crap
165,NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0,nobodi identifi charact theyr cardboard cutout stereotyp predict reversestereotyp
166,"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0,bad film bad write good actorsan ugli cartoon craft paul haggi peopl cant handl anyth bold stroke storytellinga pictur paint crayon
167,"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0,crash depress littl noth provok emot teach noth alreadi know racism prejudic bad thing
168,"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1,still like movi empower woman there enough movi like one
169,Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0,brain attempt shutdown part primal impuls selfpreserv
170,I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,0,left shatter experi watch film take good two hour fulli recov
171,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0,movi join reveng boogeyman zombiez part hellish triniti horror film
172,I certainly do not mean this distinction in a good way.  ,0,certainli mean distinct good way
173,I mean this in a terrible way.  ,0,mean terribl way
174,This film has no redeeming features.  ,0,film redeem featur
175,Everything is appalling.  ,0,everyth appal
176,"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",0,artless camerawork endlessli present u ugli set imagin ie
177,The story is beyond stupid.  ,0,stori beyond stupid
178,The script iswas there a script?  ,0,script script
179,The kids are annoying.  ,0,kid annoy
180,The lead man is charisma-free.  ,0,lead man charismafre
181,"Utterly without merit on any level, this is akin to torture.  ",0,utterli without merit level akin tortur
182,I'll even say it again  this is torture.  ,0,ill even say tortur
183,Maybe there would be a reasonable explanation for this atrocity.  ,0,mayb would reason explan atroc
184,Not a pleasant voyage of self-discovery.  ,0,pleasant voyag selfdiscoveri
185,Highly unrecommended.  ,0,highli unrecommend
186,"If this premise sound stupid, that's because it is.  ",0,premis sound stupid that
187,"Yes, it's that bad.  ",0,ye bad
188,Nothing at all to recommend.  ,0,noth recommend
189,An excellent performance from Ms.  ,1,excel perform m
190,"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",1,garbo show right bat talent could carri silent era want see silent work netflix doesnt seem stock
191,It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,1,also great see renown silent screenwrit franc marion hasnt miss step go silent sound
192,"This movie suffered because of the writing, it needed more suspense.  ",0,movi suffer write need suspens
193,There were too many close ups.  ,0,mani close up
194,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0,movi seem drag hero didnt realli work freedom
195,But this movie is definitely a below average rent.  ,0,movi definit averag rent
196,You'll love it!  ,1,youll love
197,This movie is BAD.  ,0,movi bad
198,So bad.  ,0,bad
199,The film is way too long.  ,0,film way long
200,This is definitely one of the bad ones.  ,0,definit one bad one
201,The movie I received was a great quality film for it's age.  ,1,movi receiv great qualiti film age
202,John Wayne did an incredible job for being so young in the movie industry.  ,1,john wayn incred job young movi industri
203,His on screen presence shined thought even though there were other senior actors on the screen with him.  ,1,screen presenc shin think even though senior actor screen
204,I think that it is a must see older John Wayne film.  ,1,think must see old john wayn film
205,I really don't see how anyone could enjoy this movie.  ,0,realli dont see anyon could enjoy movi
206,I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,0,dont think ive ever see movi half bore selfindulg piec junk
207,"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",0,probabl would better director hadnt spent movi showcas art work realli isnt noteworthi
208,"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  ",0,anoth thing didnt realli like charact get punch face gallon blood would spew forth soon
209,Jamie Foxx absolutely IS Ray Charles.  ,1,jami foxx absolut ray charl
210,His performance is simply genius.  ,1,perform simpli geniu
211,"He owns the film, just as Spacek owned ""Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1,own film spacek own coal miner daughter quaid own great ball fire
212,"In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  ",1,fact hard rememb part ray charl act play man
213,Ray Charles is legendary.  ,1,ray charl legendari
214,"Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  ",1,ray charl life provid excel biograph materi film go well beyond anoth movi musician
215,Hitchcock is a great director.  ,1,hitchcock great director
216,Ironically I mostly find his films a total waste of time to watch.  ,0,iron mostli find film total wast time watch
217,"Secondly, Hitchcock pretty much perfected the thriller and chase movie.  ",1,secondli hitchcock pretti much perfect thriller chase movi
218,It's this pandering to the audience that sabotages most of his films.  ,0,pander audienc sabotag film
219,Hence the whole story lacks a certain energy.  ,0,henc whole stori lack certain energi
220,"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  ",0,plot simpli rumbl like machin desper depend addit new scene
221,There are the usual Hitchcock logic flaws.  ,0,usual hitchcock logic flaw
222,Mishima is extremely uninteresting.  ,0,mishima extrem uninterest
223,"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",0,chilli unremark movi author livingwork chilli abstrus cultur
224,The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  ,0,flat reenact dont hold attent emot adrift stagi
225,"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",0,rest sit aw soldier sing song masculin pledg hairsplit puriti admir sword etc
226,"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  ",0,bore piec kill momentum movi quicker anyon els
227,"Schrader has made a resume full of lousy, amateurish films.  ",0,schrader make resum full lousi amateurish film
228,"When I first watched this movie, in the 80s, I loved it.  ",1,first watch movi 80 love
229,"I was totally fascinated by the music, the dancing... everything.  ",1,total fascin music danc everyth
230,"However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  ",0,howev recent watch whole thing dvd complet strike extrem stupid storylin contain hole inconsist frankli whole lot crap horrid danc
231,"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",0,mean realist world would never get ballet repertori whole thing quit pathet
232,The character developments also lacked in depth.  ,0,charact develop also lack depth
233,"Woa, talk about awful.  ",0,woa talk aw
234,Do not waste your time.  ,0,wast time
235,It was just too horrible.  ,0,horribl
236,"The worst, sappiest dialogue... I could go on and on.  ",0,worst sappi dialogu could go
237,But what really made it unwatchable was the direction.  ,0,realli make unwatch direct
238,The poor actors.  ,0,poor actor
239,You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  ,0,cant even tell talent pathet line speak director give action
240,If you check the director's filmography on this site you will see why this film didn't have a chance.  ,0,check director filmographi site see film didnt chanc
241,This would not even be good as a made for TV flick.  ,0,would even good make tv flick
242,"If good intentions made a film great, then this film might be one of the greatest films ever made.  ",1,good intent make film great film might one great film ever make
243,"The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  ",1,film great actor master director signific themeat least wouldb signific theme underton fifti existenti worldweari aerial scene ought thrill sen imagin charact one might deepli care
244,"Regrettably, the film fails.  ",0,regrett film fail
245,"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  ",0,movi lack visual interest drama express feel celebr patriot underlin narr
246,No actress has been worse used that June Allison in this movie.  ,0,actress wors use june allison movi
247,"Yet, I enjoy watching it.  ",1,yet enjoy watch
248,"Unfortunately, this is a bad movie that is just plain bad.  ",0,unfortun bad movi plain bad
249,"Bad script, bad direction and horrible acting make this one plain bad!  ",0,bad script bad direct horribl act make one plain bad
250,The dialogue sucked.  ,0,dialogu suck
251,The cinematography-if it can be called that-sucked.  ,0,cinematographyif call thatsuck
252,The soundtrack sucked.  ,0,soundtrack suck
253,The acting sucked.  ,0,act suck
254,The concert sequences just sucked.  ,0,concert sequenc suck
255,That was nice.  ,1,nice
256,That was funny.  ,1,funni
257,It was so funny.  ,1,funni
258,"Overall, this movie was cheap trash.  ",0,overal movi cheap trash
259,"But this movie is not funny, considering the ridiculousness of it.  ",0,movi funni consid ridicul
260,I came out of it feeling angry.  ,0,come feel angri
261,"***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  ",1,spoiler whatev els cant say surfac superbl craft
262,The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  ,1,cinematographi simpli stun say least fx noth stateoftheart
263,"Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  ",1,conceptu show offer littl bit everyth everybodi parent kid fantasi andor fx fan
264,"And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  ",1,wasnt singl sour note strike actingwis either surprisingli solid cast
265,"All things considered, a job very well done.  ",1,thing consid job well do
266,Thanks good a movie like this was done and released.  ,1,thank good movi like do releas
267,"One of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.  ",1,one best mexican movi ever one less understood even mexican matter identifi felt
268,"It ranks highly as a great noir-crime-drama, incredible performances by Belmondo and Lino Ventura.  ",1,rank highli great noircrimedrama incred perform belmondo lino ventura
269,"The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  ",1,attent give everi charact complex psycholog portray detail loyalti treacheri love hope tremend
270,"It is an excellent drama, an excellent thriller, and an excellent film.  ",1,excel drama excel thriller excel film
271,Up there with the best of Melville.  ,1,best melvil
272,Everything about this film is simply incredible.  ,1,everyth film simpli incred
273,You truly take this journey through the eyes and soul of a child.  ,1,truli take journey eye soul child
274,BLACK WATER is a thriller that manages to completely transcend it's limitations (it's an indie flick) by continually subverting expectations to emerge as an intense experience.  ,1,black water thriller manag complet transcend limit indi flick continu subvert expect emerg intens experi
275,"The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  ",1,perform real grip crocdodil extrem well do inde black water websit believ that use real croc swamp locat fabul
276,I thoroughly enjoyed it when Christopher Eccleston took control of the TARDIS and the continuation of the series.  ,1,thoroughli enjoy christoph eccleston take control tardi continu seri
277,I'm not sure what he was trying to do with this film.  ,0,im sure tri film
278,If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.  ,0,turn good day feel night disturb memori guess succeed
279,There is a lot of beautiful places.  ,1,lot beauti place
280,"It was forced, like everything in this movie.  ",0,forc like everyth movi
281,"Again, lame.  ",0,lame
282,Here's where the movie really pi**ed me off.  ,0,here movi realli pie
283,And don't even get me started on the jerky camerawork.  ,0,dont even get start jerki camerawork
284,When I saw it in the theater I thought I was going to be sick.  ,0,saw theater think go sick
285,Summary: The witticisms weren't witty.  ,0,summari wittic werent witti
286,"The plot - well, I said I'd let that one go.  ",0,plot well say id let one go
287,The acting was bad.  ,0,act bad
288,Really bad.  ,0,realli bad
289,"Even Billy Bob couldn't rise above the script, which was worse.  ",0,even billi bob couldnt rise script wors
290,"Camerawork - again, bad.  ",0,camerawork bad
291,Rating: 1 out of 10.  ,0,rate 1 10
292,An AMAZING finale to possibly the BEST trilogy of all time!  ,1,amaz final possibl best trilog time
293,Kieslowski never ceases to amaze me.  ,1,kieslowski never ceas amaz
294,"He is one of my favourite directors, and one of the most talented directors in the history of cinema.  ",1,one favourit director one talent director histori cinema
295,"His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  ",1,use colour french flag three film noth short incred everi shot everi scene like work art
296,Three of the most visually appealing movies i've ever seen.  ,1,three visual appeal movi ive ever see
297,And his subtle connections between the three films are awesome.  ,1,subtl connect three film awesom
298,"I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  ",1,mention huge spoiler love end charact three film remain survivor ferri disast valentin young judg togeth old man watch tv solidifi happi suffer deal mani year
299,"I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!  ",1,couldnt think good way end film smile face great way wrap amaz film trilog
300,"I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  ",1,recommend everyon love film movi anythinga work art
301,10 out of 10 for both the movie and trilogy.  ,1,10 10 movi trilog
302,I literally vomited while watching this film.  ,0,liter vomit watch film
303,I think i was one of the people who found this another one of roth's pearls.  ,1,think one peopl find anoth one roth pearl
304,"his performance, as awarded, was stunning.  ",1,perform award stun
305,"the story which was told so eloquently by Francis ford Coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.  ",1,stori tell eloqu franci ford coppola 25 year earlier realli unfold gradual leav room charact develop
306,In a most wonderful location lies a story of contrast.  ,1,wonder locat lie stori contrast
307,All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  ,1,beauti direct film nicola roeg wih sublim cast
