"8";"item";"";""
"8";"looks";"";""
"8";"lot";"";""
"8";"may";"";""
"8";"money.,0";"";""
"8";"night";"";""
"8";"ordered";"";""
"8";"part";"";""
"8";"put";"";""
"8";"scene";"";""
"8";"screen";"";""
"8";"simply";"";""
"8";"since";"";""
"8";"thought";"";""
"8";"understand";"";""
"8";"Unfortunately";"";""
"8";"unit";"";""
"8";"wasted";"";""
"8";"watch";"";""
"8";"watched";"";""
"8";"whole";"";""
"7";"actors";"";""
"7";"always";"";""
"7";"average";"";""
"7";"avoid";"";""
"7";"away";"";""
"7";"believe";"";""
"7";"black";"";""
"7";"bland";"";""
"7";"boring";"";""
"7";"call";"";""
"7";"chicken";"";""
"7";"come";"";""
"7";"directing";"";""
"7";"either";"";""
"7";"end";"";""
"7";"fails";"";""
"7";"feeling";"";""
"7";"flavor";"";""
"7";"food.,0";"";""
"7";"getting";"";""
"7";"guess";"";""
"7";"headset.,0";"";""
"7";"kept";"";""
"7";"last";"";""
"7";"lost";"";""
"7";"me.,0";"";""
"7";"music";"";""
"7";"pay";"";""
"7";"picture";"";""
"7";"predictable";"";""
"7";"problems";"";""
"7";"rather";"";""
"7";"soon";"";""
"7";"try";"";""
"7";"turn";"";""
"7";"weak";"";""
"7";"year";"";""
"6";"action";"";""
"6";"annoying";"";""
"6";"bad.,0";"";""
"6";"bother";"";""
"6";"bring";"";""
"6";"broke";"";""
"6";"care";"";""
"6";"certainly";"";""
"6";"cold";"";""
"6";"difficult";"";""
"6";"else";"";""
"6";"especially";"";""
"6";"Even";"";""
"6";"everyone";"";""
"6";"garbage";"";""
"6";"holes";"";""
"6";"idea";"";""
"6";"keep";"";""
"6";"left";"";""
"6";"let";"";""
"6";"lines";"";""
"6";"looking";"";""
"6";"makes";"";""
"6";"place.,0";"";""
"6";"ridiculous";"";""
"6";"salad";"";""
"6";"several";"";""
"6";"sick";"";""
"6";"stars";"";""
"6";"stay";"";""
"6";"sushi";"";""
"6";"tell";"";""
"6";"trying";"";""
"6";"Vegas";"";""
"6";"waited";"";""
"6";"word";"";""
"6";"wrong";"";""
"6";"zero";"";""
"5";"Also";"";""
"5";"anytime";"";""
"5";"area";"";""
"5";"asked";"";""
"5";"Bad";"";""
"5";"basically";"";""
"5";"best.,0";"";""
"5";"beyond";"";""
"5";"business";"";""
"5";"buttons";"";""
"5";"camera";"";""
"5";"company";"";""
"5";"costs";"";""
"5";"couple";"";""
"5";"damn";"";""
"5";"day";"";""
"5";"deal";"";""
"5";"design";"";""
"5";"different";"";""
"5";"disappointing";"";""
"5";"disappointment";"";""
"5";"dishes";"";""
"5";"done";"";""
"5";"dropped";"";""
"5";"eating";"";""
"5";"embarrassing";"";""
"5";"enjoy";"";""
"5";"expected";"";""
"5";"fries";"";""
"5";"front";"";""
"5";"full";"";""
"5";"happened";"";""
"5";"huge";"";""
"5";"involved";"";""
"5";"lacked";"";""
"5";"lacks";"";""
"5";"less";"";""
"5";"literally";"";""
"5";"location";"";""
"5";"love";"";""
"5";"lunch";"";""
"5";"meal";"";""
"5";"mean";"";""
"5";"meat";"";""
"5";"might";"";""
"5";"mistake";"";""
"5";"months";"";""
"5";"must";"";""
"5";"NEVER";"";""
"5";"pathetic";"";""
"5";"plain";"";""
"5";"poorly";"";""
"5";"reason";"";""
"5";"received";"";""
"5";"restaurant";"";""
"5";"rude";"";""
"5";"seemed";"";""
"5";"seriously";"";""
"5";"small";"";""
"5";"someone";"";""
"5";"star";"";""
"5";"table";"";""
"5";"tables";"";""
"5";"though";"";""
"5";"three";"";""
"5";"unless";"";""
"5";"up.,0";"";""
"5";"useless";"";""
"5";"volume";"";""
"5";"waiting";"";""
"5";"week";"";""
"5";"well.,0";"";""
"5";"within";"";""
"5";"without";"";""
"5";"work.,0";"";""
"4";"actually";"";""
"4";"although";"";""
"4";"arrived";"";""
"4";"bars";"";""
"4";"bored";"";""
"4";"break";"";""
"4";"buying";"";""
"4";"cell";"";""
"4";"check";"";""
"4";"chips";"";""
"4";"color";"";""
"4";"comes";"";""
"4";"course";"";""
"4";"days";"";""
"4";"depth";"";""
"4";"dining";"";""
"4";"direction";"";""
"4";"dirty";"";""
"4";"drive";"";""
"4";"dry";"";""
"4";"easy";"";""
"4";"effects";"";""
"4";"elsewhere";"";""
"4";"ended";"";""
"4";"everything";"";""
"4";"face";"";""
"4";"fact";"";""
"4";"fast";"";""
"4";"fish";"";""
"4";"fit";"";""
"4";"flat";"";""
"4";"flick";"";""
"4";"gave";"";""
"4";"gets";"";""
"4";"given";"";""
"4";"good.,0";"";""
"4";"headphones";"";""
"4";"helpful";"";""
"4";"here.,0";"";""
"4";"high";"";""
"4";"hold";"";""
"4";"home";"";""
"4";"horror";"";""
"4";"hot";"";""
"4";"human";"";""
"4";"intelligence";"";""
"4";"joke";"";""
"4";"junk";"";""
"4";"lame";"";""
"4";"later";"";""
"4";"live";"";""
"4";"longer";"";""
"4";"looked";"";""
"4";"loud";"";""
"4";"man";"";""
"4";"mind";"";""
"4";"Motorola";"";""
"4";"need";"";""
"4";"needed";"";""
"4";"Nokia";"";""
"4";"order";"";""
"4";"particular";"";""
"4";"pizza";"";""
"4";"player";"";""
"4";"point";"";""
"4";"poor.,0";"";""
"4";"possible";"";""
"4";"pretentious";"";""
"4";"recently";"";""
"4";"reception";"";""
"4";"rest";"";""
"4";"review";"";""
"4";"sad";"";""
"4";"says";"";""
"4";"second";"";""
"4";"seem";"";""
"4";"sense";"";""
"4";"series";"";""
"4";"served";"";""
"4";"server";"";""
"4";"servers";"";""
"4";"short";"";""
"4";"side";"";""
"4";"slow.,0";"";""
"4";"software";"";""
"4";"sometimes";"";""
"4";"special";"";""
"4";"staff";"";""
"4";"starts";"";""
"4";"style";"";""
"4";"suspense";"";""
"4";"taste";"";""
"4";"tasted";"";""
"4";"terrible.,0";"";""
"4";"there.,0";"";""
"4";"throughout";"";""
"4";"together";"";""
"4";"top";"";""
"4";"torture";"";""
"4";"towards";"";""
"4";"trash";"";""
"4";"tried";"";""
"4";"turned";"";""
"4";"unbelievable";"";""
"4";"using";"";""
"4";"walked";"";""
"4";"wanted";"";""
"4";"warm";"";""
"4";"wasting";"";""
"4";"whatsoever";"";""
"4";"whether";"";""
"4";"works";"";""
"4";"years";"";""
"3";"amazing";"";""
"3";"Angeles";"";""
"3";"appalling";"";""
"3";"audio";"";""
"3";"awful.,0";"";""
"3";"BAD";"";""
"3";"beep";"";""
"3";"bland.,0";"";""
"3";"bluetooth";"";""
"3";"bore";"";""
"3";"breaks";"";""
"3";"busy";"";""
"3";"cable";"";""
"3";"cast";"";""
"3";"cause";"";""
"3";"changing";"";""
"3";"charging";"";""
"3";"checked";"";""
"3";"clearly";"";""
"3";"clichés";"";""
"3";"close";"";""
"3";"comfortable";"";""
"3";"complete";"";""
"3";"computer";"";""
"3";"connection";"";""
"3";"considering";"";""
"3";"conversations";"";""
"3";"Cover";"";""
"3";"coverage";"";""
"3";"death";"";""
"3";"decent";"";""
"3";"describe";"";""
"3";"dinner";"";""
"3";"director";"";""
"3";"disappointed.,0";"";""
"3";"dont";"";""
"3";"doubt";"";""
"3";"drama";"";""
"3";"drop";"";""
"3";"easily";"";""
"3";"easily.,0";"";""
"3";"editing";"";""
"3";"either.,0";"";""
"3";"empty";"";""
"3";"energy";"";""
"3";"entire";"";""
"3";"etc";"";""
"3";"EVER";"";""
"3";"example";"";""
"3";"extra";"";""
"3";"fairly";"";""
"3";"fan";"";""
"3";"fear";"";""
"3";"feature";"";""
"3";"finally";"";""
"3";"fit.,0";"";""
"3";"flawed";"";""
"3";"forced";"";""
"3";"fried";"";""
"3";"friendly";"";""
"3";"funny";"";""
"3";"games";"";""
"3";"Girl";"";""
"3";"goes";"";""
"3";"gonna";"";""
"3";"gotten";"";""
"3";"headsets";"";""
"3";"here!,0";"";""
"3";"honest";"";""
"3";"honestly";"";""
"3";"husband";"";""
"3";"imagination";"";""
"3";"imagine";"";""
"3";"important";"";""
"3";"impressed.,0";"";""
"3";"incredibly";"";""
"3";"instructions";"";""
"3";"insult";"";""
"3";"kids";"";""
"3";"killer";"";""
"3";"lacking.,0";"";""
"3";"lasts";"";""
"3";"laughable";"";""
"3";"lead";"";""
"3";"leave";"";""
"3";"light";"";""
"3";"list";"";""
"3";"Los";"";""
"3";"making";"";""
"3";"managed";"";""
"3";"management";"";""
"3";"mention";"";""
"3";"minute";"";""
"3";"minutes.,0";"";""
"3";"mostly";"";""
"3";"moving";"";""
"3";"Needless";"";""
"3";"needs";"";""
"3";"negative";"";""
"3";"neither";"";""
"3";"none";"";""
"3";"nonsense";"";""
"3";"obviously";"";""
"3";"off.,0";"";""
"3";"One";"";""
"3";"ones";"";""
"3";"original";"";""
"3";"outside";"";""
"3";"Overall";"";""
"3";"overpriced";"";""
"3";"paid";"";""
"3";"pair";"";""
"3";"passed";"";""
"3";"period";"";""
"3";"person";"";""
"3";"phones";"";""
"3";"pictures";"";""
"3";"pitiful";"";""
"3";"places";"";""
"3";"plastic";"";""
"3";"play";"";""
"3";"please";"";""
"3";"plugged";"";""
"3";"premise";"";""
"3";"price";"";""
"3";"puppets";"";""
"3";"purchase";"";""
"3";"quiet";"";""
"3";"racial";"";""
"3";"rare";"";""
"3";"rated";"";""
"3";"rating";"";""
"3";"reading";"";""
"3";"recommended";"";""
"3";"remake";"";""
"3";"restaurant.,0";"";""
"3";"restaurants";"";""
"3";"reviews";"";""
"3";"ripped";"";""
"3";"room";"";""
"3";"running";"";""
"3";"salt";"";""
"3";"sandwich";"";""
"3";"sauce";"";""
"3";"saw";"";""
"3";"seems";"";""
"3";"serious";"";""
"3";"set";"";""
"3";"setting";"";""
"3";"shots";"";""
"3";"Show";"";""
"3";"shrimp";"";""
"3";"signal";"";""
"3";"single";"";""
"3";"sitting";"";""
"3";"something";"";""
"3";"songs";"";""
"3";"soup";"";""
"3";"space";"";""
"3";"spent";"";""
"3";"stinks";"";""
"3";"store";"";""
"3";"storyline";"";""
"3";"strong";"";""
"3";"suck";"";""
"3";"sucks.,0";"";""
"3";"super";"";""
"3";"supposedly";"";""
"3";"tasteless";"";""
"3";"tasty";"";""
"3";"thinking";"";""
"3";"this.,0";"";""
"3";"thrown";"";""
"3";"time.,0";"";""
"3";"tinny";"";""
"3";"told";"";""
"3";"unconvincing";"";""
"3";"use.,0";"";""
"3";"utterly";"";""
"3";"Verizon";"";""
"3";"voice";"";""
"3";"volume.,0";"";""
"3";"waiter";"";""
"3";"waitress";"";""
"3";"wall";"";""
"3";"watchable";"";""
"3";"water";"";""
"3";"website";"";""
"3";"whatever";"";""
"3";"wish";"";""
"3";"wooden";"";""
"3";"worthless";"";""
"3";"write";"";""
"2";"5-year";"";""
"2";"ability";"";""
"2";"abysmal";"";""
"2";"accept";"";""
"2";"accidentally";"";""
"2";"act";"";""
"2";"actress";"";""
"2";"addition";"";""
"2";"advise";"";""
"2";"ago";"";""
"2";"alone";"";""
"2";"along";"";""
"2";"Amazon.,0";"";""
"2";"ambiance";"";""
"2";"amount";"";""
"2";"angry";"";""
"2";"Another";"";""
"2";"anyone.,0";"";""
"2";"apparently";"";""
"2";"art";"";""
"2";"ask";"";""
"2";"asleep";"";""
"2";"assistant";"";""
"2";"ate";"";""
"2";"atrocious";"";""
"2";"attempt";"";""
"2";"attempts";"";""
"2";"attention";"";""
"2";"attitudes";"";""
"2";"audience";"";""
"2";"authentic";"";""
"2";"avoided";"";""
"2";"awkwardly";"";""
"2";"badly";"";""
"2";"bakery";"";""
"2";"balance";"";""
"2";"bathroom";"";""
"2";"batter";"";""
"2";"battery.,0";"";""
"2";"Bay";"";""
"2";"beans";"";""
"2";"beat";"";""
"2";"became";"";""
"2";"beef";"";""
"2";"begin";"";""
"2";"behind";"";""
"2";"Beware";"";""
"2";"Big";"";""
"2";"biggest";"";""
"2";"bill";"";""
"2";"Bisque";"";""
"2";"bites";"";""
"2";"blew";"";""
"2";"Bluetooth";"";""
"2";"boba";"";""
"2";"book";"";""
"2";"box";"";""
"2";"brain";"";""
"2";"breakfast";"";""
"2";"breaking";"";""
"2";"brought";"";""
"2";"budget";"";""
"2";"buffet";"";""
"2";"bug";"";""
"2";"building";"";""
"2";"Bullock";"";""
"2";"bunch";"";""
"2";"burgers";"";""
"2";"button";"";""
"2";"buzzing";"";""
"2";"bye";"";""
"2";"card";"";""
"2";"cardboard";"";""
"2";"caused";"";""
"2";"certain";"";""
"2";"change";"";""
"2";"charcoal";"";""
"2";"charge.,0";"";""
"2";"charged";"";""
"2";"chargers";"";""
"2";"charm";"";""
"2";"cheaply";"";""
"2";"cheesy";"";""
"2";"chemistry";"";""
"2";"chick";"";""
"2";"chilly";"";""
"2";"Cingular";"";""
"2";"clean";"";""
"2";"clear";"";""
"2";"clever";"";""
"2";"clip";"";""
"2";"cold.,0";"";""
"2";"comedy";"";""
"2";"complain";"";""
"2";"complaint";"";""
"2";"conflict";"";""
"2";"consider";"";""
"2";"consistent";"";""
"2";"constructed";"";""
"2";"consumer";"";""
"2";"contacts";"";""
"2";"contained";"";""
"2";"continuity";"";""
"2";"contract";"";""
"2";"cook";"";""
"2";"core";"";""
"2";"cost";"";""
"2";"cover";"";""
"2";"crab";"";""
"2";"created";"";""
"2";"crowd";"";""
"2";"Customer";"";""
"2";"customers";"";""
"2";"cuts";"";""
"2";"dead";"";""
"2";"depressing";"";""
"2";"description";"";""
"2";"deserves";"";""
"2";"design.,0";"";""
"2";"despite";"";""
"2";"device";"";""
"2";"did.,0";"";""
"2";"died";"";""
"2";"dirt.,0";"";""
"2";"disappointing.,0";"";""
"2";"disaster";"";""
"2";"disbelief";"";""
"2";"disgusting.,0";"";""
"2";"dish";"";""
"2";"dislike";"";""
"2";"disliked";"";""
"2";"documentary";"";""
"2";"dog";"";""
"2";"dollars";"";""
"2";"done.,0";"";""
"2";"double";"";""
"2";"drag";"";""
"2";"drain";"";""
"2";"driest";"";""
"2";"drops";"";""
"2";"dull";"";""
"2";"dumb";"";""
"2";"DVD";"";""
"2";"earlier";"";""
"2";"earpiece.,0";"";""
"2";"earth";"";""
"2";"edible";"";""
"2";"elsewhere.,0";"";""
"2";"ending";"";""
"2";"English";"";""
"2";"entirely";"";""
"2";"episode";"";""
"2";"establishment";"";""
"2";"ever!,0";"";""
"2";"ever.,0";"";""
"2";"EVER.,0";"";""
"2";"Every";"";""
"2";"everywhere";"";""
"2";"except";"";""
"2";"excuse";"";""
"2";"experienced";"";""
"2";"explanation";"";""
"2";"eyes";"";""
"2";"failed";"";""
"2";"failed.,0";"";""
"2";"falling";"";""
"2";"falls";"";""
"2";"family";"";""
"2";"fare";"";""
"2";"favor";"";""
"2";"feels";"";""
"2";"feet";"";""
"2";"fifteen";"";""
"2";"Filet";"";""
"2";"final";"";""
"2";"First";"";""
"2";"five";"";""
"2";"flavor.,0";"";""
"2";"flavorless";"";""
"2";"flaw";"";""
"2";"flimsy";"";""
"2";"flip";"";""
"2";"focused";"";""
"2";"follow";"";""
"2";"forever";"";""
"2";"FOREVER";"";""
"2";"forget";"";""
"2";"forgetting";"";""
"2";"forth";"";""
"2";"free";"";""
"2";"freedom";"";""
"2";"fresh.,0";"";""
"2";"friends";"";""
"2";"frightening";"";""
"2";"frozen";"";""
"2";"fully";"";""
"2";"girl";"";""
"2";"giving";"";""
"2";"glad";"";""
"2";"gone.,0";"";""
"2";"grease";"";""
"2";"green";"";""
"2";"grossed";"";""
"2";"guests";"";""
"2";"guy";"";""
"2";"guys";"";""
"2";"hair";"";""
"2";"handled";"";""
"2";"hands";"";""
"2";"happen";"";""
"2";"hated";"";""
"2";"head";"";""
"2";"heard";"";""
"2";"heart";"";""
"2";"hell";"";""
"2";"highly";"";""
"2";"hit";"";""
"2";"hollow";"";""
"2";"horrible.,0";"";""
"2";"house";"";""
"2";"however";"";""
"2";"humans";"";""
"2";"hurt";"";""
"2";"immediately";"";""
"2";"implausible";"";""
"2";"impossible";"";""
"2";"impressive";"";""
"2";"in.,0";"";""
"2";"indoor";"";""
"2";"instead";"";""
"2";"insulted";"";""
"2";"intelligent";"";""
"2";"interest";"";""
"2";"interested";"";""
"2";"is.,0";"";""
"2";"jerky";"";""
"2";"job.,0";"";""
"2";"Joe's";"";""
"2";"joke.,0";"";""
"2";"judge";"";""
"2";"junk.,0";"";""
"2";"Just";"";""
"2";"kid's";"";""
"2";"killing";"";""
"2";"kitchen";"";""
"2";"known";"";""
"2";"lack";"";""
"2";"Lane";"";""
"2";"large";"";""
"2";"last.,0";"";""
"2";"lasting";"";""
"2";"lazy";"";""
"2";"legs";"";""
"2";"level";"";""
"2";"limited";"";""
"2";"living";"";""
"2";"Lobster";"";""
"2";"lock";"";""
"2";"Long";"";""
"2";"lose";"";""
"2";"losing";"";""
"2";"lousy";"";""
"2";"luck";"";""
"2";"machine";"";""
"2";"mad";"";""
"2";"mainly";"";""
"2";"maintain";"";""
"2";"management.,0";"";""
"2";"manager";"";""
"2";"match";"";""
"2";"material";"";""
"2";"me!,0";"";""
"2";"meals";"";""
"2";"meaning";"";""
"2";"means";"";""
"2";"meat.,0";"";""
"2";"meh.,0";"";""
"2";"menu";"";""
"2";"mercy";"";""
"2";"microphone";"";""
"2";"mid";"";""
"2";"min";"";""
"2";"missed";"";""
"2";"model";"";""
"2";"more.,0";"";""
"2";"multiple";"";""
"2";"narrative";"";""
"2";"nearly";"";""
"2";"network";"";""
"2";"nice";"";""
"2";"nobody";"";""
"2";"note";"";""
"2";"noticed";"";""
"2";"number";"";""
"2";"numbers";"";""
"2";"occupied";"";""
"2";"odd";"";""
"2";"offensive";"";""
"2";"often";"";""
"2";"one!,0";"";""
"2";"one.,0";"";""
"2";"only.,0";"";""
"2";"opened";"";""
"2";"Oscar";"";""
"2";"others";"";""
"2";"overacting";"";""
"2";"overpriced.,0";"";""
"2";"override";"";""
"2";"pace";"";""
"2";"painful";"";""
"2";"Palm";"";""
"2";"par";"";""
"2";"particularly";"";""
"2";"pasta";"";""
"2";"Paul";"";""
"2";"Performance.,0";"";""
"2";"performances";"";""
"2";"Perhaps";"";""
"2";"perhaps";"";""
"2";"PG-13";"";""
"2";"Pho";"";""
"2";"PHONE";"";""
"2";"phone's";"";""
"2";"PIECE";"";""
"2";"pile";"";""
"2";"place!,0";"";""
"2";"placed";"";""
"2";"plan";"";""
"2";"playing";"";""
"2";"pleasant";"";""
"2";"pointless";"";""
"2";"portions";"";""
"2";"possible.,0";"";""
"2";"potato";"";""
"2";"predictably";"";""
"2";"previous";"";""
"2";"price.,0";"";""
"2";"proceedings";"";""
"2";"produce";"";""
"2";"production";"";""
"2";"provided";"";""
"2";"pull";"";""
"2";"pulled";"";""
"2";"pure";"";""
"2";"push";"";""
"2";"putting";"";""
"2";"Quality";"";""
"2";"quality.,0";"";""
"2";"Quality.,0";"";""
"2";"rarely";"";""
"2";"rate";"";""
"2";"Razr";"";""
"2";"ready";"";""
"2";"REALLY";"";""
"2";"receive";"";""
"2";"receiving";"";""
"2";"recharge";"";""
"2";"red";"";""
"2";"redeeming";"";""
"2";"refill";"";""
"2";"refund";"";""
"2";"refused";"";""
"2";"relationship";"";""
"2";"remember";"";""
"2";"remotely";"";""
"2";"rent";"";""
"2";"replacement";"";""
"2";"resolution";"";""
"2";"results";"";""
"2";"return.,0";"";""
"2";"returning";"";""
"2";"reviewer";"";""
"2";"rice";"";""
"2";"ringing";"";""
"2";"rolls";"";""
"2";"row";"";""
"2";"rude.,0";"";""
"2";"ruthless";"";""
"2";"sake";"";""
"2";"salad.,0";"";""
"2";"Sandra";"";""
"2";"sashimi";"";""
"2";"sat";"";""
"2";"save";"";""
"2";"saying";"";""
"2";"scared";"";""
"2";"scary";"";""
"2";"seated";"";""
"2";"seeing";"";""
"2";"selection";"";""
"2";"send";"";""
"2";"sending";"";""
"2";"Service";"";""
"2";"service!,0";"";""
"2";"sets";"";""
"2";"shame";"";""
"2";"share";"";""
"2";"shower";"";""
"2";"sides";"";""
"2";"sign";"";""
"2";"simple";"";""
"2";"singing";"";""
"2";"six";"";""
"2";"skip";"";""
"2";"sleep";"";""
"2";"slightest";"";""
"2";"small.,0";"";""
"2";"smell";"";""
"2";"smells";"";""
"2";"smoke";"";""
"2";"soggy";"";""
"2";"somehow";"";""
"2";"sorry";"";""
"2";"speak";"";""
"2";"spicy";"";""
"2";"spring";"";""
"2";"stand";"";""
"2";"stars.,0";"";""
"2";"start";"";""
"2";"stated";"";""
"2";"stayed";"";""
"2";"steak";"";""
"2";"stereotypes";"";""
"2";"stomach";"";""
"2";"store.,0";"";""
"2";"sub-par";"";""
"2";"sugary";"";""
"2";"sum";"";""
"2";"support";"";""
"2";"support.,0";"";""
"2";"supposed";"";""
"2";"switch";"";""
"2";"takes";"";""
"2";"talent";"";""
"2";"talking";"";""
"2";"taste.,0";"";""
"2";"tasteless.,0";"";""
"2";"tea";"";""
"2";"tech";"";""
"2";"ten";"";""
"2";"tension";"";""
"2";"terribly";"";""
"2";"texture";"";""
"2";"Thai";"";""
"2";"thats";"";""
"2";"them.,0";"";""
"2";"thin";"";""
"2";"third";"";""
"2";"tip";"";""
"2";"tones";"";""
"2";"treated";"";""
"2";"tries";"";""
"2";"trip";"";""
"2";"trouble";"";""
"2";"truly";"";""
"2";"turns";"";""
"2";"TV";"";""
"2";"twice";"";""
"2";"unbearable";"";""
"2";"uncomfortable";"";""
"2";"underwhelming";"";""
"2";"unhappy";"";""
"2";"uninteresting";"";""
"2";"unreliable";"";""
"2";"unusable";"";""
"2";"us.,0";"";""
"2";"user";"";""
"2";"Valley";"";""
"2";"value";"";""
"2";"values";"";""
"2";"vegetables";"";""
"2";"version";"";""
"2";"visual";"";""
"2";"volcano";"";""
"2";"vomit";"";""
"2";"vomited";"";""
"2";"waited.,0";"";""
"2";"wants";"";""
"2";"warranty";"";""
"2";"wave";"";""
"2";"wearing";"";""
"2";"weeks";"";""
"2";"weird";"";""
"2";"whatsoever.,0";"";""
"2";"whine";"";""
"2";"whiny";"";""
"2";"wife";"";""
"2";"wine";"";""
"2";"wings";"";""
"2";"wired";"";""
"2";"women";"";""
"2";"Work.,0";"";""
"2";"working";"";""
"2";"world";"";""
"2";"Worse";"";""
"2";"would've";"";""
"2";"written";"";""
"2";"Yeah";"";""
"2";"Yes";"";""
"2";"yet";"";""
"2";"yum";"";""
"1";"0";"";""
"1";"104,Too";"";""
"1";"105,Very";"";""
"1";"108,An";"";""
"1";"111,The";"";""
"1";"114,The";"";""
"1";"116,And";"";""
"1";"127,My";"";""
"1";"131,There";"";""
"1";"135,I";"";""
"1";"136,I";"";""
"1";"1697,I";"";""
"1";"1701,I";"";""
"1";"1705,I";"";""
"1";"1707,Would";"";""
"1";"1711,Not";"";""
"1";"1713,If";"";""
"1";"1717,Tonight";"";""
"1";"1719,We";"";""
"1";"1727,A";"";""
"1";"1731,Ryan's";"";""
"1";"1741,It";"";""
"1";"1742,I'm";"";""
"1";"1744,Will";"";""
"1";"1756,I";"";""
"1";"1759,The";"";""
"1";"1761,The";"";""
"1";"1763,But";"";""
"1";"1765,Tasted";"";""
"1";"1770,My";"";""
"1";"1775,Their";"";""
"1";"1777,So";"";""
"1";"1778,My";"";""
"1";"1783,Bland";"";""
"1";"1786,We";"";""
"1";"1791,Once";"";""
"1";"1792,Paying";"";""
"1";"1798,Mediocre";"";""
"1";"1800,I'm";"";""
"1";"1802,Why";"";""
"1";"1807,Not";"";""
"1";"1810,The";"";""
"1";"1811,The";"";""
"1";"1813,It";"";""
"1";"1816,The";"";""
"1";"1818,It";"";""
"1";"1819,This";"";""
"1";"1820,But";"";""
"1";"1821,Do";"";""
"1";"1824,Awful";"";""
"1";"1825,Won't";"";""
"1";"1826,Food";"";""
"1";"1827,For";"";""
"1";"1828,The";"";""
"1";"1830,Do";"";""
"1";"1831,Very";"";""
"1";"1832,No";"";""
"1";"1835,I";"";""
"1";"1837,I";"";""
"1";"1838,Food";"";""
"1";"1843,I";"";""
"1";"1844,We";"";""
"1";"1845,This";"";""
"1";"1846,I";"";""
"1";"1851,I";"";""
"1";"1855,My";"";""
"1";"1858,I";"";""
"1";"1859,Worst";"";""
"1";"1869,The";"";""
