,text,sentiment
80,"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  ",0
91,The problem was the script.  ,0
92,It was horrendous.  ,0
93,There was NOTHING believable about it at all.  ,0
94,The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0
101,"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0
102,"The acting was bad, the dialogs were extremely shallow and insincere.  ",0
103,"It was too predictable, even for a chick flick.  ",0
104,Too politically correct.  ,0
105,Very disappointing.  ,0
107,"I love Lane, but I've never seen her in a movie this lousy.  ",0
108,An hour and a half I wish I could bring back.  ,0
111,The directing and the cinematography aren't quite as good.  ,0
112,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0
113,"), and sometimes it was so embarrassing that I had to look away.  ",0
114,The directing seems too pretentious.  ,0
115,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0
116,And generally the lines and plot is weaker than the average episode.  ,0
117,"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0
127,My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0
129,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0
130,"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0
131,There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,0
132,"This was a poor remake of ""My Best Friends Wedding"".  ",0
133,"All in all, a great disappointment.  ",0
134,"I cannot believe that the actors agreed to do this ""film"".  ",0
135,I could not stand to even watch it for very long for fear of losing I.Q.  ,0
136,I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0
137,"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",0
138,"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0
139,"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0
140,"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0
141,All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,0
142,"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0
143,"You can't relate with them, hell you barely can understand them.  ",0
145,"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0
146,The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0
147,"A truly, truly bad film.  ",0
148,"The acting is terrible, and the writing is worse.  ",0
149,The only possible way this movie could be redeemed would be as MST3K fodder.  ,0
150,I paid too much.  ,0
152,It was so BORING!  ,0
153,No plot whatsoever!  ,0
154,"Again, no plot at all.  ",0
155,Horrible!  ,0
156,Worst hour and a half of my life!Oh my gosh!  ,0
157,I had to walk out of the theatre for a few minutes just to get some relief!  ,0
158,I hate movies like that.  ,0
159,"Yeah, the movie pretty much sucked.  ",0
160,THERE IS NO PLOT OR STORYLINE!!  ,0
161,"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0
162,Awful.  ,0
163,I don't think I've ever gone to a movie and disliked it as much.  ,0
164,It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,0
165,NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0
166,"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0
167,"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0
169,Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0
170,I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,0
171,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0
172,I certainly do not mean this distinction in a good way.  ,0
173,I mean this in a terrible way.  ,0
174,This film has no redeeming features.  ,0
175,Everything is appalling.  ,0
176,"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",0
177,The story is beyond stupid.  ,0
178,The script iswas there a script?  ,0
179,The kids are annoying.  ,0
180,The lead man is charisma-free.  ,0
181,"Utterly without merit on any level, this is akin to torture.  ",0
182,I'll even say it again  this is torture.  ,0
183,Maybe there would be a reasonable explanation for this atrocity.  ,0
184,Not a pleasant voyage of self-discovery.  ,0
185,Highly unrecommended.  ,0
186,"If this premise sound stupid, that's because it is.  ",0
187,"Yes, it's that bad.  ",0
188,Nothing at all to recommend.  ,0
192,"This movie suffered because of the writing, it needed more suspense.  ",0
193,There were too many close ups.  ,0
194,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0
195,But this movie is definitely a below average rent.  ,0
197,This movie is BAD.  ,0
198,So bad.  ,0
199,The film is way too long.  ,0
200,This is definitely one of the bad ones.  ,0
205,I really don't see how anyone could enjoy this movie.  ,0
206,I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  ,0
207,"It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  ",0
208,"Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  ",0
216,Ironically I mostly find his films a total waste of time to watch.  ,0
218,It's this pandering to the audience that sabotages most of his films.  ,0
219,Hence the whole story lacks a certain energy.  ,0
220,"The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  ",0
221,There are the usual Hitchcock logic flaws.  ,0
222,Mishima is extremely uninteresting.  ,0
223,"This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  ",0
224,The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  ,0
225,"And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  ",0
226,"He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  ",0
227,"Schrader has made a resume full of lousy, amateurish films.  ",0
230,"However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  ",0
231,"I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  ",0
232,The character developments also lacked in depth.  ,0
233,"Woa, talk about awful.  ",0
234,Do not waste your time.  ,0
235,It was just too horrible.  ,0
236,"The worst, sappiest dialogue... I could go on and on.  ",0
237,But what really made it unwatchable was the direction.  ,0
238,The poor actors.  ,0
239,You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  ,0
240,If you check the director's filmography on this site you will see why this film didn't have a chance.  ,0
241,This would not even be good as a made for TV flick.  ,0
244,"Regrettably, the film fails.  ",0
245,"The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  ",0
246,No actress has been worse used that June Allison in this movie.  ,0
248,"Unfortunately, this is a bad movie that is just plain bad.  ",0
249,"Bad script, bad direction and horrible acting make this one plain bad!  ",0
250,The dialogue sucked.  ,0
251,The cinematography-if it can be called that-sucked.  ,0
252,The soundtrack sucked.  ,0
253,The acting sucked.  ,0
254,The concert sequences just sucked.  ,0
258,"Overall, this movie was cheap trash.  ",0
259,"But this movie is not funny, considering the ridiculousness of it.  ",0
260,I came out of it feeling angry.  ,0
277,I'm not sure what he was trying to do with this film.  ,0
278,If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.  ,0
280,"It was forced, like everything in this movie.  ",0
281,"Again, lame.  ",0
282,Here's where the movie really pi**ed me off.  ,0
283,And don't even get me started on the jerky camerawork.  ,0
284,When I saw it in the theater I thought I was going to be sick.  ,0
285,Summary: The witticisms weren't witty.  ,0
286,"The plot - well, I said I'd let that one go.  ",0
287,The acting was bad.  ,0
288,Really bad.  ,0
289,"Even Billy Bob couldn't rise above the script, which was worse.  ",0
290,"Camerawork - again, bad.  ",0
291,Rating: 1 out of 10.  ,0
302,I literally vomited while watching this film.  ,0
308,I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  ,0
309,"But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as ""pretentious crap"".  ",0
310,"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  ",0
311,"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",0
327,Which has more depth and character than the man underneath it.  ,0
328,The Malta settings are as dry and as barren as the dialogue.  ,0
329,This movie is terrible.  ,0
330,"The hockey scenes are terrible, defensemen playing like they're 5 years old, goalies diving at shots that are 10 feet wide of the net, etc.  ",0
331,"For those that haven't seen it, don't waste your time!  ",0
332,To call this movie a drama is ridiculous!  ,0
333,Started watching this but didn't believe in any of the characters.  ,0
334,In particular the relationship between the bakery assistant and the waitress just didn't work for me at all.  ,0
335,It was a very superficial movie and it gave me the feeling that I was watching play rather than a film.  ,0
336,The characters were very 'stagey' and the storyline was a lot like a stage farce.  ,0
337,By the time the pyromaniac waylaid the assistant I was bored and didn't care what happened next and so I switched off.  ,0
338,Glad I didn't pay to see it.  ,0
339,Didn't laugh or even smile once.  ,0
340,But it wasn't anything at all just one big yawn...  ,0
347,"But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  ",0
348,It's just lame.  ,0
349,The guy who said he's had better dialogue with his potted plants has it right.  ,0
350,Everything about this movie is stupid.  ,0
351,"Even if you love bad movies, do not watch this movie.  ",0
352,It is shameful.  ,0
367,"The new characters weren't all that memorable, and I found myself forgetting who was who.  ",0
368,I felt as though her going to Ireland did absolutely nothing whatsoever.  ,0
369,"It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.  ",0
370,The jerky camera movements were also annoying.  ,0
371,The plot was the same as pretty much every other cheap horror.  ,0
372,"There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.  ",0
373,"I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.  ",0
374,"If you see it, you should probably just leave it on the shelf.  ",0
378,This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  ,0
379,Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.  ,0
380,All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  ,0
381,"God, and I can never get that 90 minutes back!  ",0
395,Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.  ,0
396,The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.  ,0
397,"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  ",0
407,I couldn't take them seriously.  ,0
416,I am a fan of his ... This movie sucked really bad.  ,0
417,Even worse than Ticker!  ,0
418,& That movie was bad.  ,0
419,"Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!  ",0
420,It just blew.  ,0
423,Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ,0
424,This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ,0
425,"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  ",0
426,"I wish I could enter negative values, admins?  ",0
427,"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  ",0
428,"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  ",0
429,"Oh yeah, and the storyline was pathetic too.  ",0
430,I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  ,0
431,I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.  ,0
432,In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  ,0
433,It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.  ,0
434,1/10 - and only because there is no setting for 0/10.  ,0
437,"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.  ",0
439,"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",0
441,"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",0
442,"I let my girlfriend talk me into seeing this - bad idea, we both hated it.  ",0
444,"Bela Lugosi was totally extraneous, intoning odd lines.  ",0
445,"The acting was decidely wooden, though no worse than a period Universal B movie.  ",0
450,"Wow, what a bad film.  ",0
451,"Not frightening in the least, and barely comprehensible.  ",0
452,"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",0
453,Not even good for camp value!  ,0
454,"I wasn't expecting Oscar material, but this?  ",0
455,You'd have to have the IQ of particularly stupid mollusk not to see that one coming.  ,0
456,This film (and I use that word loosely) is an insult to the movie-going public.  ,0
457,If only someone involved with it knew how to string together narrative!  ,0
458,"This gets a 1 out of 10, simply because there's nothing lower.  ",0
459,"This is one I did not have, but I watched it recently on Fox Movie Channel, and was very disappointed.  ",0
460,"I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  ",0
461,"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",0
462,"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  ",0
463,But the premise of the film was so ridiculous: that the President of the U.S.  ,0
464,The death row scenes were entirely unmoving.  ,0
465,The only thing worse than Taylor's acting was Stanwyck's singing.  ,0
466,"Whatever the producer was going for, he missed entirely.  ",0
469,"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  ",0
470,Even the squibs look awful.  ,0
471,At no point in the proceedings does it look remotely like America.  ,0
472,"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.  ",0
473,The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.  ,0
474,"I was very uneasy with how bad this movie was, but not scared at all.  ",0
475,The dialogue is composed of things that make little sense.  ,0
476,"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  ",0
477,The directing is sloppy at best.  ,0
478,"Hackneyed writing, certainly, but made even worse by the bad directing.  ",0
479,"Of course, the acting is blah.  ",0
480,The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,0
481,"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",0
488,"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",0
489,It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  ,0
505,About ten minutes into this film I started having second thoughts.  ,0
506,About half way through this film I started to dislike it.  ,0
507,"By the time the film ended, I not only disliked it, I despised it.  ",0
508,What this film lacks is a convincing script.  ,0
509,The script looks as if only a rough draft was written and shooting began before a finished script was completed.  ,0
510,"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  ",0
513,This is probably the most irritating show I have ever seen in my entire life.  ,0
514,It is indescribably the most annoying and idiotic show I have ever seen.  ,0
515,Everything about it is just bad.  ,0
516,"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.  ",0
517,"The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.  ",0
518,"The casting is also horrible, cause all you see is a really really BAD Actors, period.  ",0
519,Final Word: This Show is a real torture!!  ,0
520,It is zillion times away from reality.  ,0
521,Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,0
522,Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  ,0
523,20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.  ,0
524,"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",0
525,From here on the Widmark character turns unintentionally comical!  ,0
526,His losing his marbles so early in the proceedings is totally implausible and unconvincing.  ,0
527,And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,0
528,Whatever prompted such a documentary is beyond me!  ,0
529,(very serious spoilers) this movie was a huge disappointment.  ,0
530,there are so many problems i dont know where to start.  ,0
534,but the movie makes a lot of serious mistakes.  ,0
535,"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ",0
536,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,0
537,"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  ",0
538,there is no real plot.  ,0
539,i wouldnt see this movie again for free.  ,0
546,"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  ",0
547,"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",0
550,I don't think there are any redeeming qualities in this remake.  ,0
551,This may be the only bad film he ever made.  ,0
552,So bad...well...it's just bad.  ,0
553,"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",0
554,It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,0
555,I thought it was bad.  ,0
556,"Both films are terrible, but to the credit of the 1986 version, it was watchable.  ",0
557,"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",0
558,The script is a big flawed mess.  ,0
559,The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  ,0
560,"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",0
561,The movie is terribly boring in places.  ,0
562,The lighting is awful.  ,0
563,The film looks cheap and bland.  ,0
564,One of the most disappointing aspects is the lack of notable gore.  ,0
565,"This convention never worked well in the past, and certainly doesn't work here.  ",0
566,The visual effects were AWFUL.  ,0
567,The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,0
568,"The ""explosion"" of the Gas tanks at the end was just as awful.  ",0
571,"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  ",0
572,Not recommended.  ,0
573,"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",0
574,"Aside from it's terrible lead, this film has loads of other debits.  ",0
575,"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  ",0
576,"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",0
578,"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",0
579,The budget was evidently very limited.  ,0
580,"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",0
581,"However, here there was no decent acting, action or location work to balance things up.  ",0
582,Filmiing was less expansive.  ,0
583,It failed to convey the broad sweep of landscapes that were a great part of the original.  ,0
584,Generally; it just lacked imagination.  ,0
585,Not recommended.  ,0
586,Is it possible for a movie to get any worse than this?  ,0
587,There is no plot here to keep you going in the first place.  ,0
588,"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",0
589,"Beware: this is not a trashy cult movie, this is trash -period!  ",0
590,I can't believe there's even a sequel to this!  ,0
591,Which is precisely why I am giving it such a bad review!  ,0
598,"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  ",0
599,"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",0
601,There is simply no excuse for something this poorly done.  ,0
602,I saw this movie and I thought this is a stupid movie.  ,0
603,What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  ,0
604,"To be honest with you, this is unbelievable nonsense and very foolish.  ",0
605,"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",0
606,The story line is just awful!  ,0
607,It's just painful!  ,0
608,And the accents are absolutely abysmal!  ,0
609,There's also enough hypocrisy in this film to make me vomit.  ,0
610,Don't waste your time watching this rubbish non-researched film.  ,0
614,Omit watching this.  ,0
616,My rating: just 3 out of 10.  ,0
624,The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  ,0
625,"Regardless, the film fails on most levels.  ",0
626,Avoid at all costs.  ,0
633,"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",0
634,"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  ",0
645,"This movie is so mind-bendingly awful, it couldn't have even been created.  ",0
646,The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,0
647,The least said about the acting the better.  ,0
664,"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  ",0
665,"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0
667,It is not good.  ,0
668,"Speaking of the music, it is unbearably predictably and kitchy.  ",0
669,Then the film just dropped the ball.  ,0
685,"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",0
688,I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,0
689,It's so bad it's actually worth seeing just for that reason.  ,0
696,Well... Just if you keep thinking how bad it is.  ,0
697,"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  ",0
698,It's a case of 'so bad it is laughable'.  ,0
699,") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  ",0
700,"It is a film about nothing, just a pretext to show ridiculous action scenes.  ",0
701,How awful she is!  ,0
702,"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  ",0
703,"The results, well, are a shame.  ",0
704,DELETE this film from your mind!  ,0
705,One of the worst shows of all time.  ,0
706,The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,0
707,"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",0
708,Never heard of any of them except Cole who was totally unbelievable in the part.  ,0
709,"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",0
710,The stories were as unbelievable as the actors.  ,0
711,Lame would be the best way to describe it.  ,0
715,"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",0
716,"The lines, the cuts, the audio, everything is wrong.  ",0
717,You can find better movies at youtube.  ,0
718,"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",0
719,"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",0
720,That's how I'd describe this painfully dreary time-waster of a film.  ,0
721,"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  ",0
722,"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  ",0
723,"It's an empty, hollow shell of a movie.  ",0
724,"Seriously, it's not worth wasting your, or your kid's time on.  ",0
725,"Avoid, avoid, avoid!  ",0
726,It will drive you barking mad!  ,0
735,Nothing new there.  ,0
736,That was done in the second movie.  ,0
737,The movie has almost no action scenes in it and very little comedy.  ,0
738,The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,0
739,What on earth is Irons doing in this film?  ,0
750,The football scenes at the end were perplexing.  ,0
759,This scene is very strong and unpleasant.  ,0
766,And it was boring.  ,0
767,"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",0
776,Why was this film made?  ,0
777,The film has an ultra-cheap look to it.  ,0
778,The result is a film that just don't look right.  ,0
779,None of them are engaging or exciting.  ,0
780,The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  ,0
781,The Foreigner is not worth one second of your time.  ,0
799,"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  ",0
800,"In fact, this stinker smells like a direct-to-video release.  ",0
801,Avoid at ALL costs!  ,0
802,Star Trek V The final Frontier is the worst in the series.  ,0
803,"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  ",0
804,The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  ,0
805,The only place good for this film is in the garbage.  ,0
806,The worst one of the series.  ,0
834,Very disappointed and wondered how it could be in the Oscar shortlist.  ,0
835,It's very slow.  ,0
836,Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  ,0
837,) Don't waste your time.  ,0
838,End of Days is one of the worst big-budget action movies I've ever seen.  ,0
839,He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,0
840,This was one of the worst films i have ever seen.  ,0
841,I'm still trying to get over how bad it was.  ,0
847,"1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  ",0
848,Lots of holes in the script.  ,0
